zh	en
隐藏单元	Hidden Unit
隐变量	Hidden Variable
层次聚类	Hierarchical Clustering
分层强化学习	Hierarchical Reinforcement Learning
层序Softmax/层序软最大化	Hierarchical Softmax
希尔伯特空间	Hilbert Space
爬山	Hill Climbing
合页损失函数/Hinge损失函数	Hinge Loss Function
直方图方法	Histogram Method
留出法	Hold-Out
同质	Homogeneous
Hopfield网络	Hopfield Network
霍夫曼编码	Huffman Coding
混合计算	Hybrid Computing
双曲正切函数	Hyperbolic Tangent Function
超参数	Hyperparameter
超参数优化	Hyperparameter Optimization
超平面	Hyperplane
假设	Hypothesis
假设空间	Hypothesis Space
假设检验	Hypothesis Test
独立同分布假设	I.I.D. Assumption
同分布的	Identically Distributed
可辨认的	Identifiable
恒等函数	Identity Function
恒等映射	Identity Mapping
单位矩阵	Identity Matrix
病态	Ill Conditioning
病态问题	Ill-Formed Problem
图像	Image
图像还原	Image Restoration
模仿学习	Imitation Learning
不道德	Immorality
不完美信息	Imperfect Information
隐式密度模型	Implicit Density Model
导入	Import
重要性采样	Importance Sampling
改进的迭代尺度法	Improved Iterative Scaling
不完全数据	Incomplete-Data
增量学习	Incremental Learning
不定积分	Indefinite Integral
独立	Independence
相互独立的	Independent
独立同分布	Independent and Identically Distributed
独立成分分析	Independent Component Analysis
独立子空间分析	Independent Subspace Analysis
索引	Index of Matrix
指示函数	Indicator Function
个体学习器	Individual Learner
归纳	Induction
归纳偏好	Inductive Bias
归纳学习	Inductive Learning
归纳逻辑程序设计	Inductive Logic Programming
归纳迁移学习	Inductive Transfer Learning
不等式约束	Inequality Constraint
推断	Inference
无限	Infinite
无限可交换	Infinitely Exchangeable
信息散度	Information Divergence
信息熵	Information Entropy
信息增益	Information Gain
信息增益比	Information Gain Ratio
信息检索	Information Retrieval
信息论	Information Theory
内积	Inner Product
输入	Input
输入分布	Input Distribution
输入门	Input Gate
输入层	Input Layer
输入空间	Input Space
不敏感损失	Insensitive Loss
示例	Instance
实例分割	Instance Segmentation
整数线性规划	Integer Linear Programming
整数规划	Integer Programming
积分	Integration
簇间相似度	Inter-Cluster Similarity
内部协变量偏移	Internal Covariate Shift
内部结点	Internal Node
国际机器学习大会	International Conference For Machine Learning
干预查询	Intervention Query
内部注意力	Intra-Attention
簇内相似度	Intra-Cluster Similarity
固有值	Intrinsic Value
不变性	Invariance
不变	Invariant
逆矩阵	Inverse Matrix
逆强化学习	Inverse Reinforcement Learning
逆归结	Inverse Resolution
逆时衰减	Inverse Time Decay
求逆	Invert
不可约的	Irreducible
无关特征	Irrelevant Feature
等度量映射	Isometric Mapping
等分回归	Isotonic Regression
各向同性	Isotropic
各向同性高斯分布	Isotropic Gaussian Distribution
迭代	Iteration
迭代二分器	Iterative Dichotomiser
雅克比	Jacobian
雅可比矩阵	Jacobian Matrix
Jensen不等式	Jensen Inequality
JS散度	Jensen-Shannon Divergence
联合概率密度函数	Joint Probability Density Function
联合概率分布	Joint Probability Distribution
联合树算法	Junction Tree Algorithm
k-摇臂老虎机	K-Armed Bandit Problem
k 折交叉验证	K-Fold Cross Validation
k-均值聚类	K-Means Clustering
k-近邻分类器	K-Nearest Neighbor Classifier
k-近邻	K-Nearest Neighbor Method
KKT条件	Karush-Kuhn-Tucker Condition
Kd 树	Kd Tree
核密度估计	Kernel Density Estimation
核函数	Kernel Function
核机器	Kernel Machine
核矩阵	Kernel Matrix
核方法	Kernel Method
核回归	Kernel Regression
核技巧	Kernel Trick
核化	Kernelized
核线性判别分析	Kernelized Linear Discriminant Analysis
核主成分分析	Kernelized PCA
键-值数据库	Key-Value Store
KL散度	KL Divergence
知识	Knowledge
知识库	Knowledge Base
知识蒸馏	Knowledge Distillation
知识工程	Knowledge Engineering
知识图谱	Knowledge Graph
知识表征	Knowledge Representation
Kronecker积	Kronecker Product
Krylov方法	Krylov Method
标签/标记	Label
标记传播	Label Propagation
标签平滑	Label Smoothing
标记空间	Label Space
标注	Labeled
拉格朗日对偶问题	Lagrange Dual Problem
拉格朗日对偶性	Lagrange Duality
拉格朗日函数	Lagrange Function
拉格朗日乘子	Lagrange Multiplier
语言模型	Language Model
语言模型化	Language Modeling
Laplace分布	Laplace Distribution
拉普拉斯平滑	Laplace Smoothing
拉普拉斯修正	Laplacian Correction
大学习步骤	Large Learning Step
拉斯维加斯方法	Las Vegas Method
潜在	Latent
潜在狄利克雷分配	Latent Dirichlet Allocation
